Line Code,Batch Code,Batch Date & Time,Product ID,Product Name,Target Engine Code,Bin#,Weight
2,2001,16-08-20,201,Head Gasket,B18C1,1,0.3
2,2002,16-09-35,202,Valve Cover,K20A,1,0.6
2,2003,16-10-50,203,Piston Ring,F20C,2,0.4
2,2004,16-11-15,204,Connecting Rod,B16B,2,1.8
2,2005,16-12-40,205,Oil Pump,K24A,3,1.0
2,2006,16-13-55,206,Starter Motor,B18C1,3,5.2
2,2007,16-14-25,207,Thermostat,F20C,4,0.5
2,2008,16-15-45,208,Idler Pulley,K20A,4,0.8
2,2009,16-16-30,209,Drive Belt,B16B,1,0.7
2,2010,16-17-10,210,CV Joint,K24A,1,2.3
2,2011,16-18-20,211,Wheel Bearing,B18C1,2,1.5
2,2012,16-19-35,212,Shock Absorber,F20C,2,4.0
2,2013,16-20-50,213,Strut Assembly,K20A,3,3.5
2,2014,16-21-05,214,Control Arm,B16B,3,2.8
2,2015,16-22-15,215,Tie Rod End,K24A,4,1.2
2,2016,16-23-30,216,Ball Joint,B18C1,4,1.1
2,2017,16-00-45,217,Sway Bar Link,F20C,1,0.9
2,2018,16-01-55,218,Brake Caliper,K20A,1,3.2
2,2019,16-02-10,219,Master Cylinder,B16B,2,2.5
2,2020,16-03-25,220,Wheel Hub,K24A,2,3.0
